"Recipe","Year","MinServings","MaxServings"
"Mushroom Timbales",1936,6,6
"Mushroom Timbales",2006,5,6
"Lima Beans and Mushrooms",1936,6,6
"Lima Beans and Mushrooms",2006,6,6
"Apple Dumplings",1936,1,1
"Apple Dumplings",2006,6,6
"Scalloped Oysters",1936,6,6
"Scalloped Oysters",2006,6,6
"Twice-Baked Potatoes",1936,6,6
"Twice-Baked Potatoes",2006,6,6
"Flank Steak with Dressing",1936,4,6
"Flank Steak with Dressing",2006,4,6
"Fruit and Berry Cobbler",1936,6,6
"Fruit and Berry Cobbler",2006,8,8
"Tapioca Custard",1936,8,8
"Tapioca Custard",2006,6,6
